"name","year_published","difficulty","rating_avg","rating_sd","game_category","rating_group"
"Shifti",1977,1,4.70384,1.66036,"Abstract","Terrible"
"Archimedes",1981,2.1667,4.84783,1.2816,"Abstract","Terrible"
"Checkers",1150,1.7602,4.89366,1.52658,"Abstract","Terrible"
"Top Hats",1997,1.1667,4.59091,1.40051,"Abstract","Terrible"
"Eye",1987,2.3333,4.19667,1.72964,"Abstract","Terrible"
"UNO Dice",1987,1.1333,4.86962,1.63796,"Abstract","Terrible"
"Hack Attack",2000,1.5,4.12289,1.74482,"Abstract","Terrible"
"British Square",1978,1.25,4.62195,1.72068,"Abstract","Terrible"
"Doctor Who: Battle for the Universe",1989,1,4.55233,1.79434,"Abstract","Terrible"
"UNO Dominos",1986,1.5,4.81204,1.65638,"Abstract","Terrible"
"Triazzle",1998,1.5,4.9,1.11915,"Abstract","Terrible"
"Tri-Trac",1980,1,4.92683,1.53142,"Abstract","Terrible"
"UNO Wild Tiles",1982,1.0909,4.98073,1.55584,"Abstract","Terrible"
"Berzerk",1983,1.3333,4.94872,1.43578,"Abstract","Terrible"
"Parity",2002,1.2,3.8,1.78232,"Abstract","Terrible"
"WFF 'N PROOF",1962,3.8889,4.88889,1.82888,"Abstract","Terrible"
"Landyland",1998,3.5,4.7303,1.73301,"Abstract","Terrible"
"L-Game",1968,2.0833,4.97405,1.74883,"Abstract","Terrible"
"Track",1975,1.25,4.45537,1.53587,"Abstract","Terrible"
"Corda",1982,3,4.89189,1.50735,"Abstract","Terrible"
"Ten Commandments Bible Game",1960,1.2,4.71346,1.86795,"Abstract","Terrible"
"Fox and Geese",1400,1.55,4.75114,1.46636,"Abstract","Terrible"
"Jumpin' Java",2003,1.0833,4.8439,1.63767,"Abstract","Terrible"
"Nim",0,1.5714,4.0275,1.75722,"Abstract","Terrible"
"Capt'n W. Kidd",2004,2.1429,4.55542,1.58141,"Abstract","Terrible"
"Warmaster Chess 2000",1998,2.5,2.9325,2.50771,"Abstract","Terrible"
"Block It!",2004,1.3333,4.61549,1.94738,"Abstract","Terrible"
"Harry Potter and the Sorcerer's Stone The Game",2000,2.5,3.65864,2.08256,"Abstract","Terrible"
"Solitaire",1687,1.5149,4.40165,1.72049,"Abstract","Terrible"
"3D Tic Tac Toe",1953,1.2222,4.22225,1.83977,"Abstract","Terrible"
"Boxes",1889,1.6216,4.71128,1.60299,"Abstract","Terrible"
"Bernini Mysterie",2005,1.6923,4.99734,1.55155,"Abstract","Terrible"
"Isolate",2003,1.75,4.55109,1.5146,"Abstract","Terrible"
"CardChess",2001,3,4.88903,2.12597,"Abstract","Terrible"
"Three Men's Morris",-1400,1.25,4.38403,1.90143,"Abstract","Terrible"
"SuDoku: Das Brettspiel",2005,1.2632,4.63419,1.68092,"Abstract","Terrible"
"Breakout",1994,1,4.55106,1.43836,"Abstract","Terrible"
"Sneeze",2005,1.1111,4.94348,1.21966,"Abstract","Terrible"
"Krusade",2005,3,4.65857,1.67266,"Abstract","Terrible"
"Da Vinci's Challenge Card Game",2005,1.1667,4.03922,1.44114,"Abstract","Terrible"
"Crystal Code",2006,1.5,4.6871,1.6111,"Abstract","Terrible"
"Stixx",2006,1.5,4.61667,1.89157,"Abstract","Terrible"
"Rail/Road",2007,1.2308,4.77067,1.5163,"Abstract","Terrible"
"Totem Land",2007,2.25,4.84255,1.6635,"Abstract","Terrible"
"Sudoku Moyo",2007,1.9,4.60953,1.50345,"Abstract","Terrible"
"French Military Game",1886,2.5,4.45,1.41951,"Abstract","Terrible"
"4th Corner",2007,1.5714,4.8125,2.03005,"Abstract","Terrible"
"Jishaku",2008,1.0417,4.96867,1.6488,"Abstract","Terrible"
"Hexus",2008,1.6667,4.92424,1.96608,"Abstract","Terrible"
"Colorio",2004,1.2,4.81139,1.24534,"Abstract","Terrible"
"3D Tic Tac Toe",0,1,4.95692,1.87978,"Abstract","Terrible"
"High Five!",2010,0,4.75821,1.39039,"Abstract","Terrible"
"Celtic Challenge",2010,1,4.08382,1.47063,"Abstract","Terrible"
"Pool Position",1999,1.7273,5.72889,1.24893,"Abstract","Bad"
"Atlanteon",1992,2.0267,5.81768,1.42397,"Abstract","Bad"
"Bagh Chal",1000,2.4211,5.93031,1.24953,"Abstract","Bad"
"Top It",1997,1.8,5.69298,1.24814,"Abstract","Bad"
"Breakthru",1965,2,5.80947,1.25765,"Abstract","Bad"
"Jumpin",1964,1.619,5.5323,1.3502,"Abstract","Bad"
"Hong Kong",1999,2.1111,5.90256,1.23111,"Abstract","Bad"
"Yucata'",1996,1.7059,5.7719,1.40239,"Abstract","Bad"
"Avalanche",1965,1.2,5.70484,1.42537,"Abstract","Bad"
"Tile Chess",1999,2.6818,5.95463,1.49047,"Abstract","Bad"
"Overboard",1978,1.8889,5.68767,1.48665,"Abstract","Bad"
"Q-Turn",1999,1.25,5.04055,1.5616,"Abstract","Bad"
"Bosworth",1998,2.1,5.81967,1.41732,"Abstract","Bad"
"4th Dimension",1977,2,5.27625,1.44259,"Abstract","Bad"
"Space Walk",1999,1.4783,5.95776,1.33319,"Abstract","Bad"
"Pipeline: The Oil Game",1988,1.8,5.27045,1.65214,"Abstract","Bad"
"La Trel",1994,1.75,5.54137,1.67411,"Abstract","Bad"
"Hijara",1995,1.5,5.77993,1.63298,"Abstract","Bad"
"Vagabondo",1979,1.6,5.73889,1.86418,"Abstract","Bad"
"Dao",1999,1.5294,5.31095,1.71684,"Abstract","Bad"
"Invers",1991,1.7,5.98925,1.44749,"Abstract","Bad"
"Sabotage",1985,1.6,5.65714,1.6141,"Abstract","Bad"
"Continuo",1982,1.4103,5.28186,1.55368,"Abstract","Bad"
"Babuschka",1982,1.8571,5.50926,1.33156,"Abstract","Bad"
"Stonewall",1996,1.6667,5.88095,1.78778,"Abstract","Bad"
"Isis & Osiris",2001,1.3537,5.83163,1.26007,"Abstract","Bad"
"Safari Jack",1998,1.4231,5.34045,1.30485,"Abstract","Bad"
"Pyramidis",1988,1.8571,5.92607,1.41742,"Abstract","Bad"
"All The King's Men",1970,1.9412,5.72176,1.42059,"Abstract","Bad"
"Input",1984,1.8421,5.61786,1.36226,"Abstract","Bad"
"Tuf",1967,1.8333,5.362,1.76158,"Abstract","Bad"
"Alcatraz",1999,1.95,5.50421,1.36568,"Abstract","Bad"
"GRO: Battle for the Petri Dish",1999,2.5,5.55128,1.45794,"Abstract","Bad"
"Yali",1996,1.8182,5.21643,1.40231,"Abstract","Bad"
"Chebache",1997,3,5.76744,1.80229,"Abstract","Bad"
"The Royal Game of Ur",-2600,1.3,5.97255,1.75766,"Abstract","Bad"
"Strata 5",1984,2.3636,5.77231,1.45955,"Abstract","Bad"
"Moonstar",1981,2,5.21921,1.84108,"Abstract","Bad"
"Evade",1971,1.5,5.78889,1.28398,"Abstract","Bad"
"Cosmic Coasters",2001,1.2222,5.20309,1.54227,"Abstract","Bad"
"Mississippi",1987,2.1111,5.87244,1.48857,"Abstract","Bad"
"Isolation",1972,1.6087,5.74687,1.38374,"Abstract","Bad"
"Transsib",1996,2.4,5.65972,1.28175,"Abstract","Bad"
"Shuttles",1973,1.625,5.72795,1.21114,"Abstract","Bad"
"Oh-Wah-Ree",1964,1.5385,5.89631,1.42058,"Abstract","Bad"
"Spectrangle",1989,1.5,5.72711,1.2773,"Abstract","Bad"
"Skirrid",1977,2,5.64331,1.29489,"Abstract","Bad"
"Trippples",1972,2.1053,5.78503,1.44078,"Abstract","Bad"
"Shogun",1976,1.92,5.67859,1.48259,"Abstract","Bad"
"Caprice",1999,1.9333,5.90397,1.37611,"Abstract","Bad"
"4 Player Chess",1881,2.9355,5.96445,1.79009,"Abstract","Bad"
"Globbo!",1983,2,5.79865,1.56272,"Abstract","Bad"
"Kensington",1979,2.2391,5.35317,1.56764,"Abstract","Bad"
"Ergo",1977,1.8571,5.78923,1.67048,"Abstract","Bad"
"Ido",1998,2.125,5.84203,1.43531,"Abstract","Bad"
"Ultimate Stratego",1997,2.1,5.92037,1.35432,"Abstract","Bad"
"Fight!",2000,1.25,5.96641,1.50944,"Abstract","Bad"
"Lotus",1998,1.5714,5.3718,1.49778,"Abstract","Bad"
"Chinese Checkers",1893,1.5955,5.14894,1.56362,"Abstract","Bad"
"Mastermind",1971,1.8047,5.5682,1.46477,"Abstract","Bad"
"Dominoes",1500,1.3803,5.48133,1.62543,"Abstract","Bad"
"Senet",-3500,1.4769,5.81852,1.63161,"Abstract","Bad"
"Duell",1975,2.5217,5.80636,1.50068,"Abstract","Bad"
"The Way",1994,1.3333,5.35306,1.3242,"Abstract","Bad"
"Tiles",1995,1,5.84839,1.3043,"Abstract","Bad"
"Kalah",700,1.6256,5.93479,1.42828,"Abstract","Bad"
"Chaos Tiles",1999,2,5.27674,1.77001,"Abstract","Bad"
"Contigo",1974,2.25,5.70725,1.50114,"Abstract","Bad"
"Quicksand",1981,1.5,5.02206,1.7619,"Abstract","Bad"
"Spider Wars",1988,1.4444,5.30533,1.43396,"Abstract","Bad"
"Quivive",1998,1.9231,5.99214,1.28591,"Abstract","Bad"
"Touché",1977,1.75,5.6514,1.29583,"Abstract","Bad"
"Dragon Lance Mage Stones",1990,1.4545,5.97845,1.59465,"Abstract","Bad"
"Mathable",1987,2.1667,5.45616,2.1131,"Abstract","Bad"
"Point-Blank",1979,1.3333,5.62045,1.34892,"Abstract","Bad"
"Tashkent Domino",1995,1,5.59756,1.66462,"Abstract","Bad"
"Diceland",2002,2,5.58593,1.49997,"Abstract","Bad"
"Balanx",1993,1.9474,5.31658,1.59366,"Abstract","Bad"
"Mandala",1983,1.6667,5.6875,1.75758,"Abstract","Bad"
"Chess for Three",1992,3.25,5.89286,1.86463,"Abstract","Bad"
"Pyramis",1991,2.5,5.87647,1.86438,"Abstract","Bad"
"Rubik's Flip",1981,1.375,5.85594,1.33633,"Abstract","Bad"
"High Hand",1963,1.8,5.63715,1.23593,"Abstract","Bad"
"Lumberjack",2002,1.4667,5.75122,1.26532,"Abstract","Bad"
"Contack",1939,1.4444,5.35246,1.56641,"Abstract","Bad"
"Traverse",1987,1.9688,5.97528,1.35098,"Abstract","Bad"
"Neutreeko",2001,2,5.4612,1.5164,"Abstract","Bad"
"Ganoven Jagd",1983,2,5.9641,1.65723,"Abstract","Bad"
"Junk Yard",2002,3,5.95,1.32508,"Abstract","Bad"
"Connections",1991,1.75,5.76108,1.47443,"Abstract","Bad"
"September",1985,2,5.24419,1.4995,"Abstract","Bad"
"San Gimignano",2002,2,5.52078,1.49771,"Abstract","Bad"
"The Legend of Landlock",1995,1.2439,5.75661,1.41343,"Abstract","Bad"
"Tribulation",1974,1.6667,5.70647,1.62766,"Abstract","Bad"
"Tabula",1990,1.3846,5.76739,1.28715,"Abstract","Bad"
"3-D Chess",1851,4.0714,5.92443,1.99672,"Abstract","Bad"
"Tic Tac Chec",1995,2.1667,5.86944,1.53169,"Abstract","Bad"
"Score Four",1967,1.8,5.96783,1.53874,"Abstract","Bad"
"Cube Farm",2002,1.5333,5.81714,1.27994,"Abstract","Bad"
"Smear",1999,1.1667,5.37856,1.66687,"Abstract","Bad"
"Ultimate Mastermind",1972,2.2727,5.94841,1.45881,"Abstract","Bad"
"Nine Men's Morris",-1400,1.8279,5.35456,1.61742,"Abstract","Bad"
"Pyramid",1978,1.5,5.85625,1.45644,"Abstract","Bad"
"Sabotage",1963,1.25,5.83333,1.57674,"Abstract","Bad"
"Sudden Death!",1978,1.8,5.51286,1.08965,"Abstract","Bad"
"Jungle",0,1.8056,5.96942,1.45402,"Abstract","Bad"
"Tri-Ominos",1965,1.4176,5.33791,1.52913,"Abstract","Bad"
"Exit",1983,1.5556,5.76955,1.48859,"Abstract","Bad"
"Slide 5",1980,2,5.53693,1.27926,"Abstract","Bad"
"Bakari",2002,1.3333,5.28974,1.36597,"Abstract","Bad"
"Freeloader",2002,1.5909,5.6301,1.39569,"Abstract","Bad"
"Froop!",2002,1.1429,5.50351,1.62793,"Abstract","Bad"
"Crosstrack",1994,1.6154,5.26684,1.55333,"Abstract","Bad"
"Chess Race",1976,1.3333,5.48226,1.38939,"Abstract","Bad"
"Omnigon",1988,2,5.87619,1.30581,"Abstract","Bad"
"Outwit",1975,1.7778,5.02952,1.38023,"Abstract","Bad"
"Quad-Ominos",1978,2.2,5.18136,1.26962,"Abstract","Bad"
"BattleBoard",1972,1,5.325,1.51222,"Abstract","Bad"
"Rubout",1989,1.7692,5.64848,1.33078,"Abstract","Bad"
"Shake Up",1997,1.1429,5.23111,1.19403,"Abstract","Bad"
"Chaos",1970,1.5,5.63433,1.38376,"Abstract","Bad"
"Knock Out",1978,1.625,5.16327,1.3147,"Abstract","Bad"
"Six Cubes",1989,1,5.31592,1.56793,"Abstract","Bad"
"Sahara",2002,1.3846,5.58181,1.40159,"Abstract","Bad"
"Mind Maze",1970,1.4,5.62459,1.33584,"Abstract","Bad"
"UNO Rummy-Up",1993,1.4375,5.9,1.4594,"Abstract","Bad"
"James Bond Secret Agent 007 Game",1964,1.75,5.10484,1.88561,"Abstract","Bad"
"Bionic Crisis",1975,1,5.04,1.86273,"Abstract","Bad"
"Word Mastermind",1972,1.6667,5.08761,1.78232,"Abstract","Bad"
"Mini Mastermind",1972,1.8718,5.67737,1.40914,"Abstract","Bad"
"Touché",1979,1.4,5.50771,1.42509,"Abstract","Bad"
"United Nations: A Game of World Domination in Our Time",1982,2.5714,5.55306,1.69466,"Abstract","Bad"
"Mattix",1968,2.25,5.43667,1.47524,"Abstract","Bad"
"Steam Tunnel",2003,1.5625,5.59481,1.4305,"Abstract","Bad"
"Kangaroo: The Jumping Game",1977,0,5.35806,1.59187,"Abstract","Bad"
"Switchboard",1966,2,5.87121,1.60329,"Abstract","Bad"
"Cirondo",1991,2.9333,5.562,1.58549,"Abstract","Bad"
"The Totally Insane Card Game",1993,2.2857,5.97581,2.38684,"Abstract","Bad"
"Make 7",1994,2,5.72727,1.14045,"Abstract","Bad"
"Kage",1986,1.75,5.25,1.47373,"Abstract","Bad"
"3 SPOT game",1996,1.6667,5.29387,1.63525,"Abstract","Bad"
"Let's Do Lunch!",2000,1.1429,5.42401,1.48602,"Abstract","Bad"
"Cubus",1987,1.9091,5.73029,1.52696,"Abstract","Bad"
"Cube Checkers",1997,2.5,5.57327,1.99441,"Abstract","Bad"
"Xerxes",1973,1.875,5.89111,1.56898,"Abstract","Bad"
"Tetris",1989,1.625,5.60488,1.72718,"Abstract","Bad"
"TimeLine",2003,2.0417,5.75425,1.44983,"Abstract","Bad"
"Zenix",2000,1.8,5.6811,1.40866,"Abstract","Bad"
"Sprouts",1967,1.6923,5.97725,1.56412,"Abstract","Bad"
"Rhumb Line",2003,1.1667,5.6266,1.61969,"Abstract","Bad"
"Chekov",2003,1.1111,5.24915,1.35176,"Abstract","Bad"
"Babylon",2003,1.6296,5.54249,1.52243,"Abstract","Bad"
"Final Fantasy IX Tetra Master Card Game",2001,1.5,5.605,1.70146,"Abstract","Bad"
"Tip-It",1965,1.0714,5.00992,1.5235,"Abstract","Bad"
"Transfer",1983,1.75,5.6413,1.4346,"Abstract","Bad"
"Stranded",1981,1.6667,5.47059,1.59476,"Abstract","Bad"
"Creepy Freaks",2003,1.7143,5.06466,1.60486,"Abstract","Bad"
"Quadtria",2000,1.75,5.5282,1.49683,"Abstract","Bad"
"Quits",1990,1.8333,5.8481,1.29594,"Abstract","Bad"
"Constellation",2003,2,5.69,1.67866,"Abstract","Bad"
"Rolit",1997,1.6977,5.65926,1.28681,"Abstract","Bad"
"Wapi",2003,1.1333,5.02182,1.63737,"Abstract","Bad"
"10-Four, Good Buddy",1976,1,5.25,1.55068,"Abstract","Bad"
"Make 5",1998,1.5,5.16806,1.6898,"Abstract","Bad"
"Home Improvement",1993,2,5.46957,1.93513,"Abstract","Bad"
"Stadium Checkers",1952,1.3571,5.58496,1.347,"Abstract","Bad"
"1 Stein + Co.",2003,1.5714,5.93012,1.47972,"Abstract","Bad"
"Yoté",0,1.6,5.81,1.67227,"Abstract","Bad"
"Mancala 4",0,1.5,5.80526,1.10166,"Abstract","Bad"
"Touch and Go",1974,2,5.01515,1.58346,"Abstract","Bad"
"Take 5",1977,1,5.37636,1.64869,"Abstract","Bad"
"Farlander",2002,1.6429,5.53618,1.47517,"Abstract","Bad"
"Safari Round Up",1973,1.25,5.18605,1.70847,"Abstract","Bad"
"SiegeStones",2004,2.3333,5.83804,1.53381,"Abstract","Bad"
"Tilt'n Tumble",1997,1,5.625,1.14489,"Abstract","Bad"
"Tyrus",2004,1.8529,5.97039,1.39919,"Abstract","Bad"
"Fits",1999,1,5.45574,1.61654,"Abstract","Bad"
"Super 3",1978,1,5.32464,1.47131,"Abstract","Bad"
"Hepta",1974,1.5,5.43404,1.53225,"Abstract","Bad"
"Deflection",1981,1.4,5.76286,1.68609,"Abstract","Bad"
"Foxy",1977,1.3333,5.74198,1.66577,"Abstract","Bad"
"Aya",1992,1.3333,5.53556,1.35485,"Abstract","Bad"
"BRIDG-IT",1960,1.8333,5.18795,1.94465,"Abstract","Bad"
"Abagio",2004,1,5.49898,1.35377,"Abstract","Bad"
"Seega",0,2.2,5.65556,1.28159,"Abstract","Bad"
"Alquerque",1000,1.9091,5.69904,1.44342,"Abstract","Bad"
"Go-Moku",700,1.8814,5.96117,1.67494,"Abstract","Bad"
"Topminos",1998,1.5,5.3834,1.36575,"Abstract","Bad"
"Obsession",1977,1,5.77321,1.77919,"Abstract","Bad"
"Go Mental",2003,1.6,5.75152,2.0741,"Abstract","Bad"
"Strato Chess",1973,3.4,5.85,1.49457,"Abstract","Bad"
"Yundao",2004,1.6667,5.05069,1.13215,"Abstract","Bad"
"Chromino",2001,1.2414,5.8127,1.61007,"Abstract","Bad"
"StrataGem",2004,1.7857,5.27435,1.15062,"Abstract","Bad"
"Qubic",1947,1.5556,5.37279,1.59222,"Abstract","Bad"
"Hasami Shogi",0,2,5.61667,1.91317,"Abstract","Bad"
"Metallurgie",2004,1.4167,5.7004,1.1733,"Abstract","Bad"
"Junta",1975,0,5.89118,2.20285,"Abstract","Bad"
"Chinagold",2004,2.32,5.85526,1.41556,"Abstract","Bad"
"Deus Vult!",2005,1.6154,5.21071,1.53739,"Abstract","Bad"
"Bushi",1970,2.5,5.56098,0.901997,"Abstract","Bad"
"Exago",2004,1.4,5.58892,1.47745,"Abstract","Bad"
"Merlin",1978,1.6667,5.121,1.53154,"Abstract","Bad"
"Inka",2005,2.2429,5.36975,1.39503,"Abstract","Bad"
"Domination",2005,1.1429,5.00349,1.65274,"Abstract","Bad"
"Mastermind Challenge",1993,2,5.75115,1.65782,"Abstract","Bad"
"DaVinci's Challenge",2004,2.0635,5.57209,1.49638,"Abstract","Bad"
"Rette sich, wer kann!",1983,1,5.57812,2.05057,"Abstract","Bad"
"Tic Tac Doh!",2003,1.5833,5.74909,1.14095,"Abstract","Bad"
"Seti",1979,1.3333,5.22941,1.46298,"Abstract","Bad"
"ZigZag",2005,1.5,5.825,1.19633,"Abstract","Bad"
"Babel",2002,0,5.87348,1.29057,"Abstract","Bad"
"Chaturanga",550,2.25,5.92877,1.41826,"Abstract","Bad"
"Barbacan",1973,1.3333,5.57742,1.9648,"Abstract","Bad"
"Barricade",1974,1,5.42125,1.69551,"Abstract","Bad"
"Simpei",2005,1.5,5.95338,1.42104,"Abstract","Bad"
"Martian Backgammon",2001,2,5.95333,1.13717,"Abstract","Bad"
"Hexxagon",1992,1.9231,5.36355,1.64675,"Abstract","Bad"
"Cups",1969,2.2,5.55,1.65504,"Abstract","Bad"
"Stratego: The Chronicles of Narnia",2005,1.8667,5.86604,1.31707,"Abstract","Bad"
"New Mastermind",2004,1.7778,5.83692,1.33097,"Abstract","Bad"
"ChickenFoot",1986,1.3125,5.98212,1.6674,"Abstract","Bad"
"Three Musketeers",1969,2,5.97825,1.33156,"Abstract","Bad"
"Travel Sequence",1994,1.4286,5.60055,1.6145,"Abstract","Bad"
"Brain Trainer",1975,1.7778,5.55421,1.54455,"Abstract","Bad"
"Enkounter",2006,2.3333,5.71321,1.61269,"Abstract","Bad"
"Trapture",2006,1.1667,5.95435,0.83346,"Abstract","Bad"
"Sudoku: Duell der Meister",2006,1.7,5.96852,1.57842,"Abstract","Bad"
"Spin & Trap",2006,1.8,5.31875,1.56879,"Abstract","Bad"
"Cephalopod",2006,2.7778,5.6517,1.81082,"Abstract","Bad"
"Legie",2005,2.6667,5.5601,1.57844,"Abstract","Bad"
"Evo",0,2,5.38348,2.15078,"Abstract","Bad"
"Skybridge",2006,1.9259,5.91385,1.37737,"Abstract","Bad"
"Ringgz",2005,1.92,5.73687,1.51023,"Abstract","Bad"
"Kakuro Challenge",2006,2.25,5.4796,1.83434,"Abstract","Bad"
"Laser Battle",2006,2,5.57922,1.50296,"Abstract","Bad"
"Zatre: Das Kartenspiel",2006,1.4286,5.82446,1.42917,"Abstract","Bad"
"Mozaika",2006,1.7778,5.59505,1.42602,"Abstract","Bad"
"Asalto",1803,1.8571,5.69774,1.34406,"Abstract","Bad"
"Space Checkers",2006,1,5.22314,1.81701,"Abstract","Bad"
"Canossa",2006,1.8,5.68889,0.93416,"Abstract","Bad"
"Dschingis Khan: Bewegung an der Großen Mauer",2006,2,5.225,1.58575,"Abstract","Bad"
"Draco Mundis",2006,2.1818,5.80281,1.53759,"Abstract","Bad"
"Upturn",2006,1.5,5.05227,1.6073,"Abstract","Bad"
"Italian Checkers",1400,1.6667,5.88483,1.72478,"Abstract","Bad"
"Gemlok",2007,1.5556,5.92559,1.3697,"Abstract","Bad"
"Blindside",2011,2.6667,5.95937,1.46263,"Abstract","Bad"
"Tunnelz",2007,1.3333,5.33143,1.87552,"Abstract","Bad"
"Bendomino",2007,1.7647,5.62454,1.80354,"Abstract","Bad"
"Inversé",2006,2.5,5.88779,1.41105,"Abstract","Bad"
"Kingdom Quest",2007,2.25,5.41899,1.78657,"Abstract","Bad"
"Twelve Men's Morris",0,2.2857,5.78852,1.79253,"Abstract","Bad"
"Dipole",2007,2.875,5.64379,1.79811,"Abstract","Bad"
"Stoplights",2007,1.3824,5.11979,1.43209,"Abstract","Bad"
"Stratego: Transformers",2007,1.6667,5.84286,1.12359,"Abstract","Bad"
"Black Ice",2007,1.3333,5.83968,1.30394,"Abstract","Bad"
"Penguin Soccer",2007,2,5.48448,2.11927,"Abstract","Bad"
"Aapep",2007,2,5.27692,1.47594,"Abstract","Bad"
"Cranium Triple Triumph",2007,1.1667,5.83898,1.33544,"Abstract","Bad"
"Army of Frogs",2007,2.0115,5.95849,1.30671,"Abstract","Bad"
"Polarity",2006,1.5,5.68,1.62714,"Abstract","Bad"
"IQube",2006,0,5.51515,1.28136,"Abstract","Bad"
"Burgoo",2014,1.2273,5.67424,1.42213,"Abstract","Bad"
"Chaos",2007,1.75,5.79841,1.60211,"Abstract","Bad"
"Papillons",2007,1.1429,5.83279,1.25747,"Abstract","Bad"
"Sequence: States & Capitals",2006,1,5.77264,1.32222,"Abstract","Bad"
"Wahoo",1930,1.25,5.31308,1.88843,"Abstract","Bad"
"Loopit",2007,1.5714,5.99062,1.62766,"Abstract","Bad"
"Atoll",2008,2.3077,5.71784,1.88414,"Abstract","Bad"
"Serendipity",2008,2,5.05278,1.8545,"Abstract","Bad"
"Qubix",2011,2,5.59382,1.59036,"Abstract","Bad"
"On Top",2008,1.4,5.1,1.1811,"Abstract","Bad"
"Aronda",2008,2.1,5.83264,1.63291,"Abstract","Bad"
"Spanish Checkers",1400,1.5,5.77579,1.73034,"Abstract","Bad"
"Battle for Olympus",2009,2.25,5.87561,1.39227,"Abstract","Bad"
"Logger",2008,2.1429,5.85698,1.42849,"Abstract","Bad"
"Cthulhu Rising",2008,1.2917,5.37263,1.91786,"Abstract","Bad"
"Logan Stones",2008,1.6471,5.78325,1.4254,"Abstract","Bad"
"Novem",2008,1,5.20256,1.53564,"Abstract","Bad"
"Halma",1884,1.8333,5.41107,1.49472,"Abstract","Bad"
"Castle Builders",2008,1.4286,5.81944,1.4799,"Abstract","Bad"
"CrossWise",2008,1.4545,5.93581,1.36207,"Abstract","Bad"
"Wordquest",2009,1,5.59613,1.52495,"Abstract","Bad"
"Docker",2008,1.5,5.66134,1.6828,"Abstract","Bad"
"Genial Spezial",2009,1.8889,5.97412,1.27677,"Abstract","Bad"
"Topas",2009,1.0833,5.66575,1.24825,"Abstract","Bad"
"Unikato",2009,1.6,5.87119,1.41769,"Abstract","Bad"
"rioMino",1997,2,5.98243,1.84802,"Abstract","Bad"
"Ultimate Tic-Tac-Toe",2008,2.2,5.98671,1.72899,"Abstract","Bad"
"Connect 4x4",2009,1.3636,5.77489,1.46405,"Abstract","Bad"
"Cir*Kis",2009,1.6667,5.26997,1.51909,"Abstract","Bad"
"Ergo",2009,3.6429,5.49853,1.88099,"Abstract","Bad"
"Pajaggle Boards",2009,1.5,5.88636,1.68673,"Abstract","Bad"
"Lorrein",2011,2.4,5.78784,1.79569,"Abstract","Bad"
"Rolit Travel",2008,2,5.5473,1.04726,"Abstract","Bad"
"Neuron",2010,1.875,5.35,1.52124,"Abstract","Bad"
"Sequence Num6ers",2008,0,5.66885,1.4608,"Abstract","Bad"
"Aether",2010,2.4,5.84195,1.36639,"Abstract","Bad"
"Spline",2011,1,5.79143,1.65932,"Abstract","Bad"
"The Blue Lion",2011,1.2917,5.94179,1.30557,"Abstract","Bad"
"For The Win",2012,1.8387,5.75935,1.40796,"Abstract","Bad"
"Button Up!",2012,1.125,5.48163,1.44305,"Abstract","Bad"
"Colorpop",2011,1.2143,5.548,1.40526,"Abstract","Bad"
"Dragon Master: BGG Convention Promo",2015,1.25,5.94667,1.34827,"Abstract","Bad"
"Cathedral",1978,1.795,6.52083,1.32963,"Abstract","Average"
"Buffalo Chess",1975,1.5417,6.06147,1.38318,"Abstract","Average"
"Bollox",1999,2.4,6.77708,1.23966,"Abstract","Average"
"TAMSK",1998,2.2866,6.77217,1.40922,"Abstract","Average"
"Ta Yü",1999,2.0671,6.95651,1.29559,"Abstract","Average"
"Black Box",1977,2.0658,6.37984,1.3912,"Abstract","Average"
"Mole Hill",1997,1.7188,6.00392,1.35077,"Abstract","Average"
"Nuba",1995,2,6.30333,1.41936,"Abstract","Average"
"Stonehenge",1994,1.8571,6.31591,1.15075,"Abstract","Average"
"The Rose King",1992,1.9561,6.80763,1.25819,"Abstract","Average"
"Icehouse",1989,2.5957,6.63562,1.72864,"Abstract","Average"
"Isi",1999,0,6.57927,1.2228,"Abstract","Average"
"The Very Clever Pipe Game",1996,1.5875,6.21743,1.23044,"Abstract","Average"
"Forum Romanum",1988,2.3824,6.74236,1.31122,"Abstract","Average"
"Arabana-Ikibiti",1997,1.875,6.20158,1.19241,"Abstract","Average"
"Chase",1985,2.6579,6.81403,1.49865,"Abstract","Average"
"Polarity",1986,1.6786,6.36459,1.49345,"Abstract","Average"
"Kahuna",1998,2.0541,6.6242,1.25919,"Abstract","Average"
"Octi",1999,3.2609,6.72365,1.51561,"Abstract","Average"
"Abalone",1987,2.1812,6.45465,1.42204,"Abstract","Average"
"Sisimizi",1996,1.9565,6.33884,1.24756,"Abstract","Average"
"Kardinal",2000,2.1818,6.55197,1.21939,"Abstract","Average"
"Siesta",1999,2.52,6.28864,1.34497,"Abstract","Average"
"Quoridor",1997,1.8698,6.66289,1.38895,"Abstract","Average"
"Quarto",1991,1.9283,6.86154,1.34956,"Abstract","Average"
"Marrakesh",1978,2,6.88726,1.90658,"Abstract","Average"
"Cabale",1999,2.5,6.16218,1.23203,"Abstract","Average"
"Fibonacci",1992,1.8333,6.28889,1.43804,"Abstract","Average"
"Trax",1980,2.1273,6.50334,1.41808,"Abstract","Average"
"Domain",1982,1.7778,6.12156,1.37302,"Abstract","Average"
"Focus",1963,2.3889,6.44925,1.43158,"Abstract","Average"
